# CoordinateSystem: GEOGCS["WGS 84",DATUM["World Geodetic System 1984 ensemble",SPHEROID["WGS 84",6378137,298.257223563,AUTHORITY["EPSG","7030"]],TOWGS84[0,0,0,0,0,0,0],AUTHORITY["EPSG","6326"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.01745329251994328,AUTHORITY["EPSG","9102"]],AUTHORITY["EPSG","4326"]]
#Label	Enable	X/Longitude	Y/Latitude	Z/Altitude	Yaw	Pitch	Roll	Accuracy_X_(m)	Accuracy_Y_(m)	Accuracy_Z_(m)	Accuracy_Yaw/Pitch/Roll_(deg)	Error_(m)	X_error	Y_error	Z_error	Error_(deg)	Yaw_error	Pitch_error	Roll_error	X_est	Y_est	Z_est	Yaw_est	Pitch_est	Roll_est	X_var	Y_var	Z_var	Yaw_var	Pitch_var	Roll_var
DJI_20260722122529_0027_MS_NIR.TIF	1	-5.557402	42.615240	936.399000	149.800000	-0.000000	0.000000	0.009990	0.010950	0.022980	10.000000																				
DJI_20260722122529_0027_MS_R.TIF	1	-5.557402	42.615240	936.399000	149.800000	-0.000000	0.000000	0.009990	0.010950	0.022980	10.000000																				
DJI_20260722122529_0027_MS_RE.TIF	1	-5.557402	42.615240	936.399000	149.800000	-0.000000	0.000000	0.009990	0.010950	0.022980	10.000000																				
DJI_20260722122532_0028_D.JPG	1	-5.557328	42.615145	936.500000	149.800000	0.100000	-0.000000	0.009950	0.010890	0.022890	10.000000																				
DJI_20260722122532_0028_MS_G.TIF	1	-5.557327	42.615144	936.491000	149.800000	0.100000	-0.000000	0.009900	0.010890	0.022890	10.000000																				
DJI_20260722122532_0028_MS_NIR.TIF	1	-5.557327	42.615144	936.491000	149.800000	0.100000	-0.000000	0.009900	0.010890	0.022890	10.000000																				
DJI_20260722122532_0028_MS_R.TIF	1	-5.557327	42.615144	936.491000	149.800000	0.100000	-0.000000	0.009900	0.010890	0.022890	10.000000																				
DJI_20260722122532_0028_MS_RE.TIF	1	-5.557327	42.615144	936.491000	149.800000	0.100000	-0.000000	0.009900	0.010890	0.022890	10.000000																				
DJI_20260722122535_0029_D.JPG	1	-5.557247	42.615043	936.590000	149.800000	-0.000000	0.000000	0.010190	0.010970	0.022860	10.000000																				
DJI_20260722122535_0029_MS_G.TIF	1	-5.557246	42.615042	936.582000	149.800000	0.100000	-0.000000	0.010190	0.010970	0.022860	10.000000																				
DJI_20260722122535_0029_MS_NIR.TIF	1	-5.557247	42.615042	936.582000	149.800000	0.100000	-0.000000	0.010190	0.010970	0.022860	10.000000																				
DJI_20260722122535_0029_MS_R.TIF	1	-5.557247	42.615042	936.582000	149.800000	0.100000	-0.000000	0.010190	0.010970	0.022860	10.000000																				
DJI_20260722122535_0029_MS_RE.TIF	1	-5.557247	42.615042	936.582000	149.800000	0.100000	-0.000000	0.010190	0.010970	0.022860	10.000000																				
DJI_20260722122538_0030_D.JPG	1	-5.557174	42.614949	936.668000	149.800000	0.100000	-0.000000	0.010100	0.010940	0.022870	10.000000																				
DJI_20260722122538_0030_MS_G.TIF	1	-5.557173	42.614948	936.660000	149.800000	-0.000000	0.000000	0.010100	0.010940	0.022870	10.000000																				
DJI_20260722122538_0030_MS_NIR.TIF	1	-5.557173	42.614948	936.660000	149.800000	-0.000000	0.000000	0.010100	0.010940	0.022870	10.000000																				
DJI_20260722122538_0030_MS_R.TIF	1	-5.557173	42.614948	936.660000	149.800000	-0.000000	0.000000	0.010100	0.010940	0.022870	10.000000																				
DJI_20260722122538_0030_MS_RE.TIF	1	-5.557173	42.614948	936.660000	149.800000	-0.000000	0.000000	0.010100	0.010940	0.022870	10.000000																				
DJI_20260722122542_0031_D.JPG	1	-5.557063	42.614807	936.815000	149.800000	-0.000000	0.000000	0.009920	0.010920	0.022880	10.000000																				
